,Traffic_ID,Date,Time,Area,Road_Type,Weather_Condition,Vehicle_Count,Average_Speed_kmph,Congestion_Level,Accident_Reported,Traffic_Signal_Malfunction
38,39,2025-03-11,4,Industrial,Bridge,Rain,453.0,43.0,,1.0,1.0
39,40,2025-03-11,16,Airport Road,Bridge,Fog,470.0,33.4,,0.0,0.0
40,41,2025-03-15,18,Downtown,Bridge,Fog,,,Low,1.0,0.0
41,42,2025-01-16,5,City Center,Bridge,Clear,,,,,
42,43,2025-01-10,20,Airport Road,Street,Rain,180.0,62.5,Medium,0.0,0.0
43,44,2025-01-06,23,,Bridge,Storm,210.0,,High,,0.0
44,45,2025-01-28,20,Airport Road,,Fog,333.0,,Medium,,
45,46,2025-01-26,16,Airport Road,Street,Clear,,,,0.0,0.0
46,47,2025-02-27,15,Industrial,Street,Cloudy,456.0,,High,1.0,1.0
47,48,2025-02-27,9,Residential,Main Road,Rain,125.0,,Low,0.0,0.0
48,49,2025-03-17,14,,Street,Rain,,49.7,Medium,,
49,50,2025-01-01,11,Downtown,Tunnel,Rain,,23.0,Low,0.0,1.0
50,51,2025-03-10,9,Airport Road,,Storm,,,,,0.0
51,52,2025-03-18,13,Industrial,,Cloudy,,,,,1.0
52,53,2025-01-24,10,Airport Road,Highway,,196.0,,Low,1.0,1.0
53,54,2025-01-20,17,Airport Road,,Rain,411.0,,High,,0.0
54,55,2025-02-05,11,Downtown,Main Road,Cloudy,249.0,,,1.0,0.0
55,56,2025-01-26,11,Airport Road,Tunnel,Storm,432.0,,,0.0,1.0
56,57,2025-02-03,4,Residential,,,,,Medium,,
57,58,2025-01-03,7,Airport Road,Street,Storm,389.0,,Medium,0.0,1.0
58,59,2025-01-05,6,Residential,Tunnel,Fog,,,High,0.0,0.0
59,60,2025-03-13,5,Downtown,Tunnel,Clear,433.0,,Medium,,1.0
60,61,2025-03-08,15,,Highway,Clear,176.0,70.4,Medium,1.0,0.0
61,62,2025-02-27,3,Downtown,Street,Rain,,66.0,Low,1.0,0.0
62,63,2025-01-10,5,City Center,Highway,Fog,,43.8,Low,,
63,64,2025-03-12,21,,Main Road,Clear,,71.0,Low,0.0,
64,65,2025-02-06,13,,Bridge,Clear,,,,1.0,0.0
65,66,2025-03-23,23,Residential,,Cloudy,412.0,,,0.0,0.0
66,67,2025-03-12,11,,Street,Fog,215.0,69.8,High,0.0,1.0
67,68,2025-03-06,0,Airport Road,Street,Storm,,,High,1.0,0.0
68,69,2025-01-19,2,Residential,Bridge,Fog,,53.3,Low,1.0,
69,70,2025-02-04,16,Airport Road,Street,Rain,,,,1.0,1.0
70,71,2025-01-26,2,Industrial,Tunnel,,,,,,
71,72,2025-01-30,8,Airport Road,,Storm,,,High,0.0,1.0
72,73,2025-01-11,7,,Main Road,Fog,111.0,,High,,
73,74,2025-03-25,8,City Center,Street,Fog,101.0,,Medium,0.0,1.0
74,75,2025-03-02,10,City Center,Main Road,Fog,73.0,53.2,,1.0,1.0
75,76,2025-02-18,23,Residential,Tunnel,Cloudy,,31.1,High,0.0,1.0
76,77,2025-03-12,3,Downtown,Tunnel,Cloudy,87.0,,Low,1.0,1.0
77,78,2025-02-17,14,Airport Road,Street,Storm,454.0,,,0.0,0.0
78,79,2025-03-15,9,City Center,Tunnel,Fog,341.0,56.6,Medium,,1.0
79,80,2025-01-23,13,,Highway,Rain,172.0,53.1,Low,0.0,0.0
80,81,2025-02-28,19,City Center,Tunnel,Fog,66.0,,,1.0,
81,82,2025-01-20,22,Residential,,Storm,388.0,45.5,Medium,0.0,1.0
82,83,2025-01-07,2,Downtown,Main Road,Fog,,,High,,0.0
83,84,2025-03-22,10,Residential,Street,Storm,,24.8,,,0.0
84,85,2025-02-21,12,Residential,Highway,Clear,167.0,,Low,1.0,0.0
85,86,2025-02-14,6,,Tunnel,Fog,,,Low,0.0,0.0
86,87,2025-02-04,20,Residential,Bridge,,103.0,,High,,0.0
87,88,2025-03-11,10,City Center,Highway,Cloudy,,35.1,,,1.0
88,89,2025-02-26,2,City Center,Tunnel,Cloudy,77.0,,,1.0,1.0
89,90,2025-01-23,18,City Center,Main Road,Fog,,27.3,Medium,0.0,
90,91,2025-01-02,4,City Center,Tunnel,Clear,165.0,47.7,Medium,0.0,
91,92,2025-01-25,21,City Center,,Fog,,78.8,,,1.0
92,93,2025-02-02,17,Industrial,Street,Storm,432.0,,,0.0,
93,94,2025-01-23,19,Downtown,Bridge,,,,,0.0,0.0
94,95,2025-02-17,2,City Center,Tunnel,Cloudy,214.0,78.8,,1.0,0.0
95,96,2025-01-04,17,Residential,,Cloudy,,43.2,,1.0,1.0
96,97,2025-02-12,20,City Center,Bridge,Clear,,,Low,,1.0
97,98,2025-02-04,23,,Main Road,Clear,,,Low,0.0,
98,99,2025-03-15,7,City Center,Tunnel,Fog,,72.3,Low,1.0,
99,100,2025-02-28,9,Residential,Main Road,,,78.7,,1.0,
